nodeName	altName	nodeAttr[nodesPresent, ]
EXOSC10	NA	turquoise
EXOSC10-AS1	NA	grey
EXOSC2	NA	turquoise
EXOSC3	NA	turquoise
EXOSC3P1	NA	blue
EXOSC4	NA	grey
EXOSC5	NA	grey
EXOSC6	NA	turquoise
EXOSC7	NA	turquoise
EXOSC8	NA	turquoise
EXOSC9	NA	turquoise
EXPH5	NA	turquoise
EXT1	NA	brown
EXT2	NA	turquoise
EXTL2	NA	turquoise
EXTL3	NA	brown
EXTL3-AS1	NA	turquoise
EYA1	NA	turquoise
EYA2	NA	green
EYA3	NA	turquoise
EYS	NA	grey
EZH1	NA	red
EZH2	NA	turquoise
EZHIP	NA	grey
EZR	NA	turquoise
F10	NA	grey
F11	NA	yellow
F11R	NA	brown
F12	NA	brown
F13A1	NA	turquoise
F2	NA	grey
F2R	NA	blue
F2RL1	NA	brown
F2RL2	NA	grey
F2RL3	NA	grey
F3	NA	grey
F5	NA	brown
F7	NA	brown
F8	NA	grey
F8A1	NA	red
F8A2	NA	turquoise
F8A3	NA	grey
FA2H	NA	blue
FAAH	NA	turquoise
FAAH2	NA	turquoise
FAAHP1	NA	turquoise
FAAP100	NA	turquoise
FAAP20	NA	turquoise
FAAP24	NA	turquoise
FABP3	NA	grey
FABP4	NA	grey
FABP5	NA	turquoise
FABP5P3	NA	grey
FABP5P7	NA	brown
FABP5P9	NA	grey
FABP6	NA	grey
FABP7P1	NA	grey
FADD	NA	brown
FADS1	NA	turquoise
FADS2	NA	blue
FADS3	NA	turquoise
FAF1	NA	turquoise
FAF2	NA	turquoise
FAH	NA	yellow
FAHD1	NA	turquoise
FAHD2A	NA	turquoise
FAHD2B	NA	turquoise
FAHD2CP	NA	turquoise
FAIM	NA	turquoise
FAIM2	NA	grey
FALEC	NA	turquoise
FAM102A	NA	turquoise
FAM102B	NA	turquoise
FAM104A	NA	turquoise
FAM104B	NA	turquoise
FAM106A	NA	turquoise
FAM107A	NA	grey
FAM107B	NA	turquoise
FAM110A	NA	turquoise
FAM110B	NA	yellow
FAM110C	NA	blue
FAM110D	NA	grey
FAM111A	NA	turquoise
FAM111A-DT	NA	turquoise
FAM111B	NA	turquoise
FAM114A1	NA	blue
FAM114A2	NA	turquoise
FAM117A	NA	turquoise
FAM117B	NA	turquoise
FAM118A	NA	turquoise
FAM118B	NA	turquoise
FAM120A	NA	green
FAM120AOS	NA	red
FAM120B	NA	green
FAM120C	NA	turquoise
FAM124A	NA	grey
FAM124B	NA	yellow
FAM126A	NA	turquoise
FAM126B	NA	brown
FAM131A	NA	brown
FAM131B	NA	turquoise
FAM131B-AS2	NA	brown
FAM133B	NA	turquoise
FAM133DP	NA	blue
FAM133EP	NA	grey
FAM135A	NA	turquoise
FAM136A	NA	turquoise
FAM136DP	NA	turquoise
FAM138C	NA	grey
FAM138E	NA	blue
FAM13A	NA	green
FAM13A-AS1	NA	green
FAM13B	NA	turquoise
FAM13B-AS1	NA	grey
FAM13C	NA	grey
FAM149A	NA	yellow
FAM149B1	NA	turquoise
FAM151B	NA	blue
FAM151B-DT	NA	turquoise
FAM153A	NA	turquoise
FAM153B	NA	turquoise
FAM153CP	NA	turquoise
FAM156A	NA	turquoise
FAM156B	NA	grey
FAM157A	NA	blue
FAM157B	NA	brown
FAM157C	NA	brown
FAM161A	NA	turquoise
FAM161B	NA	turquoise
FAM162A	NA	turquoise
FAM166A	NA	green
FAM166B	NA	turquoise
FAM167A	NA	turquoise
FAM167B	NA	turquoise
FAM168A	NA	green
FAM168B	NA	turquoise
FAM169A	NA	turquoise
FAM169B	NA	turquoise
FAM170B	NA	grey
FAM170B-AS1	NA	grey
FAM171A1	NA	turquoise
FAM171A2	NA	yellow
FAM171B	NA	turquoise
FAM172A	NA	turquoise
FAM172BP	NA	grey
FAM174A	NA	blue
FAM174B	NA	grey
FAM174C	NA	turquoise
FAM177A1	NA	yellow
FAM177B	NA	turquoise
FAM178B	NA	turquoise
FAM180B	NA	grey
FAM181B	NA	turquoise
FAM182A	NA	blue
FAM182B	NA	blue
FAM183BP	NA	turquoise
FAM184A	NA	turquoise
FAM184B	NA	green
FAM185A	NA	turquoise
FAM185BP	NA	yellow
FAM186A	NA	grey
FAM186B	NA	red
FAM187A	NA	brown
FAM187B2P	NA	grey
FAM189A2	NA	grey
FAM189B	NA	turquoise
FAM192BP	NA	grey
FAM193A	NA	yellow
FAM193B	NA	yellow
FAM193B-DT	NA	grey
FAM199X	NA	turquoise
FAM200A	NA	turquoise
FAM200B	NA	yellow
FAM201A	NA	turquoise
FAM204A	NA	turquoise
FAM207BP	NA	blue
FAM209A	NA	green
FAM209B	NA	yellow
FAM20A	NA	brown
FAM20B	NA	turquoise
FAM20C	NA	brown
FAM210A	NA	turquoise
FAM210B	NA	brown
FAM214A	NA	turquoise
FAM214B	NA	brown
FAM214BP1	NA	blue
FAM215A	NA	turquoise
FAM215B	NA	yellow
FAM216A	NA	turquoise
FAM217B	NA	green
FAM218A	NA	grey
FAM219A	NA	green
FAM219B	NA	turquoise
FAM21EP	NA	turquoise
FAM21FP	NA	turquoise
FAM220A	NA	turquoise
FAM220CP	NA	grey
FAM221A	NA	yellow
FAM221B	NA	blue
FAM222A	NA	turquoise
FAM222B	NA	turquoise
FAM223A	NA	grey
FAM223B	NA	grey
FAM224A	NA	grey
FAM224B	NA	turquoise
FAM225A	NA	grey
FAM225B	NA	grey
FAM226B	NA	turquoise
FAM227A	NA	grey
FAM227B	NA	turquoise
FAM228A	NA	grey
FAM228B	NA	turquoise
FAM229A	NA	turquoise
FAM229B	NA	turquoise
FAM234A	NA	turquoise
FAM234B	NA	turquoise
FAM238A	NA	red
FAM238B	NA	turquoise
FAM238C	NA	turquoise
FAM241A	NA	turquoise
FAM241B	NA	turquoise
FAM242C	NA	grey
FAM246A	NA	blue
FAM246B	NA	turquoise
FAM246C	NA	green
FAM24B	NA	blue
FAM27C	NA	turquoise
FAM27E3	NA	yellow
FAM30A	NA	turquoise
FAM32A	NA	red
FAM32BP	NA	grey
FAM3A	NA	turquoise
FAM3B	NA	grey
FAM3C	NA	blue
FAM3C2P	NA	blue
FAM3D	NA	blue
FAM41C	NA	grey
FAM43A	NA	turquoise
FAM47E	NA	blue
FAM50A	NA	turquoise
FAM50B	NA	turquoise
FAM53A	NA	yellow
FAM53B	NA	turquoise
FAM53B-AS1	NA	turquoise
FAM53C	NA	brown
FAM66A	NA	turquoise
FAM66B	NA	blue
FAM66C	NA	blue
FAM66D	NA	turquoise
FAM66E	NA	grey
FAM72A	NA	grey
FAM72B	NA	grey
FAM72C	NA	turquoise
FAM72D	NA	grey
FAM74A4	NA	grey
FAM74A6	NA	blue
FAM76A	NA	turquoise
FAM76B	NA	turquoise
FAM78A	NA	blue
FAM78B	NA	grey
FAM81A	NA	turquoise
FAM81B	NA	blue
FAM83A	NA	grey
FAM83D	NA	turquoise
FAM83E	NA	grey
FAM83F	NA	blue
FAM83G	NA	turquoise
FAM83H	NA	turquoise
FAM85B	NA	grey
FAM86B1	NA	turquoise
FAM86B2	NA	grey
FAM86B3P	NA	yellow
FAM86C1P	NA	turquoise
FAM86C2P	NA	blue
FAM86DP	NA	turquoise
FAM86EP	NA	red
FAM86FP	NA	turquoise
FAM86HP	NA	turquoise
FAM86JP	NA	turquoise
FAM87A	NA	turquoise
FAM87B	NA	turquoise
FAM88B	NA	blue
FAM88C	NA	turquoise
FAM88E	NA	blue
FAM88F	NA	grey
FAM89A	NA	grey
FAM89B	NA	brown
FAM8A1	NA	green
FAM90A1	NA	blue
FAM90A12P	NA	yellow
FAM90A13P	NA	blue
FAM90A14	NA	blue
FAM90A15P	NA	blue
FAM90A20P	NA	grey
FAM90A25P	NA	grey
FAM90A5P	NA	blue
FAM91A1	NA	green
FAM91A2P	NA	grey
FAM91A3P	NA	grey
FAM95B1	NA	turquoise
FAM98A	NA	turquoise
FAM98B	NA	turquoise
FAM98C	NA	turquoise
FAM9B	NA	brown
FAM9C	NA	brown
FAN1	NA	turquoise
FANCA	NA	turquoise
FANCB	NA	turquoise
FANCC	NA	turquoise
FANCD2	NA	red
FANCE	NA	turquoise
FANCF	NA	turquoise
FANCG	NA	turquoise
FANCI	NA	turquoise
FANCL	NA	turquoise
FANCM	NA	blue
FANK1	NA	turquoise
FAP	NA	grey
FAR1	NA	green
FAR2	NA	brown
FAR2P2	NA	blue
FAR2P3	NA	blue
FARP1	NA	turquoise
FARP1-AS1	NA	turquoise
FARP2	NA	turquoise
FARS2	NA	blue
FARSA	NA	turquoise
FARSB	NA	turquoise
FAS	NA	green
FASLG	NA	blue
FASN	NA	turquoise
FASTK	NA	turquoise
FASTKD1	NA	turquoise
FASTKD2	NA	turquoise
FASTKD3	NA	turquoise
FASTKD5	NA	turquoise
FAT1	NA	yellow
FAT2	NA	grey
FAT4	NA	blue
FAU	NA	blue
FAUP1	NA	grey
FAXDC2	NA	yellow
FBF1	NA	turquoise
FBH1	NA	yellow
FBL	NA	blue
FBLIM1	NA	grey
FBLL1	NA	grey
FBLN1	NA	turquoise
FBLN2	NA	red
FBLN5	NA	turquoise
FBLN7	NA	blue
FBN1	NA	turquoise
FBN2	NA	brown
FBP1	NA	green
FBRS	NA	brown
FBRSL1	NA	turquoise
FBXL12	NA	turquoise
FBXL13	NA	blue
FBXL14	NA	turquoise
FBXL15	NA	turquoise
FBXL16	NA	turquoise
FBXL17	NA	turquoise
FBXL18	NA	turquoise
FBXL19	NA	turquoise
FBXL19-AS1	NA	turquoise
FBXL2	NA	blue
FBXL20	NA	green
FBXL22	NA	grey
FBXL3	NA	green
FBXL4	NA	yellow
FBXL5	NA	brown
FBXL6	NA	turquoise
FBXL7	NA	grey
FBXL8	NA	turquoise
FBXO10	NA	turquoise
FBXO11	NA	yellow
FBXO15	NA	turquoise
FBXO17	NA	grey
FBXO2	NA	turquoise
FBXO21	NA	turquoise
FBXO22	NA	turquoise
FBXO24	NA	brown
FBXO25	NA	turquoise
FBXO27	NA	blue
FBXO28	NA	turquoise
FBXO3	NA	turquoise
FBXO30	NA	turquoise
FBXO31	NA	blue
FBXO32	NA	turquoise
FBXO33	NA	green
FBXO34	NA	turquoise
FBXO36	NA	grey
FBXO38	NA	green
FBXO38-DT	NA	brown
FBXO39	NA	grey
FBXO4	NA	turquoise
FBXO40	NA	turquoise
FBXO41	NA	turquoise
FBXO42	NA	turquoise
FBXO43	NA	turquoise
FBXO44	NA	turquoise
FBXO45	NA	turquoise
FBXO46	NA	turquoise
FBXO48	NA	turquoise
FBXO5	NA	turquoise
FBXO6	NA	turquoise
FBXO7	NA	green
FBXO8	NA	turquoise
FBXO9	NA	turquoise
FBXW10	NA	grey
FBXW10B	NA	red
FBXW11	NA	turquoise
FBXW11P1	NA	grey
FBXW2	NA	yellow
FBXW4	NA	blue
FBXW4P1	NA	yellow
FBXW5	NA	turquoise
FBXW7	NA	turquoise
FBXW7-AS1	NA	grey
FBXW8	NA	turquoise
FBXW9	NA	turquoise
FCAR	NA	brown
FCER1A	NA	turquoise
FCER1G	NA	blue
FCER2	NA	turquoise
FCF1	NA	turquoise
FCF1P2	NA	grey
FCF1P7	NA	grey
FCGBP	NA	turquoise
FCGR1A	NA	brown
FCGR1BP	NA	brown
FCGR1CP	NA	blue
FCGR2A	NA	brown
FCGR2B	NA	red
FCGR2C	NA	turquoise
FCGR3A	NA	blue
FCGR3B	NA	brown
FCGRT	NA	brown
FCHO1	NA	brown
FCHO2	NA	brown
FCHO2-DT	NA	brown
FCHSD1	NA	turquoise
FCHSD2	NA	green
FCMR	NA	turquoise
FCN1	NA	brown
FCRL1	NA	turquoise
FCRL2	NA	turquoise
FCRL3	NA	turquoise
FCRL5	NA	turquoise
FCRL6	NA	blue
FCRLA	NA	turquoise
FCRLB	NA	turquoise
FCSK	NA	turquoise
FDFT1	NA	turquoise
FDPS	NA	turquoise
FDPSP2	NA	grey
FDPSP3	NA	grey
FDPSP4	NA	turquoise
FDPSP7	NA	grey
FDX1	NA	turquoise
FDX1P1	NA	grey
FDX2	NA	turquoise
FDXACB1	NA	turquoise
FDXR	NA	turquoise
FECH	NA	blue
FEM1A	NA	turquoise
FEM1B	NA	turquoise
FEM1C	NA	green
FEN1	NA	turquoise
FER	NA	turquoise
FER1L4	NA	grey
FER1L6	NA	grey
FERMT1	NA	grey
FERMT2	NA	turquoise
FERMT3	NA	brown
FERP1	NA	grey
FES	NA	brown
FEZ1	NA	blue
FEZ2	NA	yellow
FFAR1	NA	green
FFAR2	NA	blue
FFAR3	NA	blue
FFAR4	NA	grey
FGB	NA	grey
FGD1	NA	grey
FGD2	NA	red
FGD3	NA	brown
FGD4	NA	brown
FGD5	NA	grey
FGD5-AS1	NA	turquoise
FGD5P1	NA	blue
FGD6	NA	turquoise
FGF11	NA	grey
FGF13	NA	brown
FGF14	NA	turquoise
FGF14-AS2	NA	blue
FGF17	NA	grey
FGF18	NA	turquoise
FGF2	NA	grey
FGF22	NA	turquoise
FGF5	NA	brown
FGF7	NA	grey
FGF7P3	NA	grey
FGF7P5	NA	green
FGF7P6	NA	turquoise
FGF9	NA	blue
FGFBP1	NA	yellow
FGFBP2	NA	brown
FGFBP3	NA	blue
FGFR1	NA	turquoise
FGFR1OP2	NA	turquoise
FGFR2	NA	turquoise
FGFR3	NA	grey
FGFR4	NA	red
FGFRL1	NA	turquoise
FGGY	NA	blue
FGGY-DT	NA	grey
FGL2	NA	brown
FGR	NA	brown
FH	NA	turquoise
FHAD1	NA	turquoise
FHAD1-AS1	NA	blue
FHDC1	NA	blue
FHIP1A	NA	grey
FHIP1B	NA	green
FHIP2A	NA	green
FHIP2B	NA	turquoise
FHIT	NA	turquoise
FHL1	NA	turquoise
FHL2	NA	blue
FHL3	NA	blue
FHOD1	NA	green
FHOD3	NA	blue
FIBCD1	NA	grey
FIBP	NA	turquoise
FICD	NA	turquoise
FIG4	NA	turquoise
FIGN	NA	grey
FIGNL1	NA	turquoise
FIGNL2	NA	turquoise
FILIP1	NA	grey
FILIP1L	NA	turquoise
FILNC1	NA	grey
FIP1L1	NA	turquoise
FIRRE	NA	turquoise
FIS1	NA	turquoise
FITM1	NA	blue
FITM2	NA	turquoise
FIZ1	NA	turquoise
FJX1	NA	grey
FKBP10	NA	blue
FKBP11	NA	turquoise
FKBP14	NA	turquoise
FKBP14-AS1	NA	grey
FKBP15	NA	brown
FKBP1A	NA	brown
FKBP1AP1	NA	grey
FKBP1B	NA	blue
FKBP1C	NA	brown
FKBP2	NA	green
FKBP3	NA	turquoise
FKBP4	NA	turquoise
FKBP5	NA	turquoise
FKBP6	NA	turquoise
FKBP7	NA	grey
FKBP8	NA	turquoise
FKBP9	NA	brown
FKBPL	NA	blue
FKRP	NA	turquoise
FKTN	NA	turquoise
FKTN-AS1	NA	turquoise
FLACC1	NA	grey
FLAD1	NA	turquoise
FLCN	NA	green
FLG	NA	grey
FLG-AS1	NA	turquoise
FLG2	NA	turquoise
FLI1	NA	green
FLII	NA	brown
FLJ12825	NA	grey
FLJ13224	NA	grey
FLJ20021	NA	grey
FLJ38576	NA	green
FLJ40194	NA	blue
FLJ42393	NA	grey
FLJ46284	NA	green
FLNA	NA	turquoise
FLNB	NA	turquoise
FLNB-AS1	NA	grey
FLNC	NA	grey
FLOT1	NA	brown
FLOT2	NA	brown
FLRT1	NA	grey
FLRT2	NA	turquoise
FLT1	NA	yellow
FLT1P1	NA	blue
FLT3	NA	turquoise
FLT3LG	NA	turquoise
FLT4	NA	turquoise
FLVCR1	NA	turquoise
FLVCR1-DT	NA	turquoise
FLVCR2	NA	brown
FLVCR2-AS1	NA	turquoise
FLYWCH1	NA	turquoise
FLYWCH2	NA	turquoise
FMC1	NA	turquoise
FMC1-LUC7L2	NA	turquoise
FMN1	NA	turquoise
FMNL1	NA	brown
FMNL1-AS1	NA	turquoise
FMNL1-DT	NA	turquoise
FMNL2	NA	turquoise
FMNL3	NA	turquoise
FMO1	NA	blue
FMO2	NA	green
FMO4	NA	turquoise
FMO5	NA	turquoise
FMO7P	NA	turquoise
FMOD	NA	grey
FMR1	NA	turquoise
FMR1-AS1	NA	turquoise
FMR1-IT1	NA	yellow
FN1	NA	grey
FN3K	NA	grey
FN3KRP	NA	blue
FNBP1	NA	turquoise
FNBP1L	NA	blue
FNBP1P1	NA	turquoise
FNBP4	NA	turquoise
FNDC1	NA	turquoise
FNDC10	NA	turquoise
FNDC11	NA	blue
FNDC3A	NA	turquoise
FNDC3B	NA	brown
FNDC4	NA	grey
FNDC5	NA	turquoise
FNDC7	NA	grey
FNDC8	NA	blue
FNDC9	NA	grey
FNIP1	NA	brown
FNIP2	NA	turquoise
FNTA	NA	turquoise
FNTAP2	NA	blue
FNTB	NA	turquoise
FOCAD	NA	turquoise
FOLR1	NA	grey
FOLR2	NA	turquoise
FOLR3	NA	brown
FOS	NA	blue
FOSB	NA	grey
FOSL1	NA	blue
FOSL2	NA	brown
FOSL2-AS1	NA	grey
FOXA3	NA	red
FOXB1	NA	brown
FOXC1	NA	yellow
FOXD1	NA	turquoise
FOXD2	NA	blue
FOXD2-AS1	NA	blue
FOXD3-AS1	NA	grey
FOXD4	NA	grey
FOXD4L1	NA	grey
FOXD4L3	NA	grey
FOXD4L4	NA	turquoise
FOXD4L5	NA	yellow
FOXD4L6	NA	brown
FOXE1	NA	yellow
FOXE3	NA	grey
FOXH1	NA	turquoise
FOXI1	NA	turquoise
FOXJ1	NA	turquoise
FOXJ2	NA	yellow
FOXJ3	NA	turquoise
FOXK1	NA	turquoise
FOXK2	NA	turquoise
FOXL2	NA	blue
FOXM1	NA	turquoise
FOXN2	NA	yellow
FOXN3	NA	turquoise
FOXN3-AS1	NA	grey
FOXN3-AS2	NA	blue
FOXO1	NA	turquoise
FOXO3	NA	brown
FOXO3B	NA	turquoise
FOXO4	NA	blue
FOXO6	NA	grey
FOXP1	NA	turquoise
FOXP1-IT1	NA	blue
FOXP3	NA	turquoise
FOXP4	NA	turquoise
FOXQ1	NA	blue
FOXRED1	NA	turquoise
FOXRED2	NA	turquoise
FPGS	NA	turquoise
FPGT	NA	red
FPGT-TNNI3K	NA	turquoise
FPR1	NA	brown
FPR2	NA	brown
FPR3	NA	grey
FRA10AC1	NA	turquoise
FRAS1	NA	grey
FRAT1	NA	brown
FRAT2	NA	brown
FREM1	NA	grey
FRG1	NA	turquoise
FRG1-DT	NA	turquoise
FRG1BP	NA	turquoise
FRG1CP	NA	turquoise
FRG1EP	NA	yellow
FRG1HP	NA	turquoise
FRG1JP	NA	grey
FRGCA	NA	grey
FRK	NA	grey
FRMD3	NA	grey
FRMD4A	NA	turquoise
FRMD4B	NA	turquoise
FRMD5	NA	grey
FRMD6	NA	blue
FRMD6-AS2	NA	grey
FRMD8	NA	brown
FRMPD1	NA	grey
FRMPD3	NA	blue
FRRS1	NA	turquoise
FRRS1L	NA	grey
FRS2	NA	turquoise
FRS3	NA	turquoise
FRY	NA	green
FRY-AS1	NA	grey
FRYL	NA	turquoise
FRZB	NA	grey
FSBP	NA	blue
FSCN1	NA	green
FSCN2	NA	yellow
FSCN3	NA	grey
FSD1	NA	blue
FSD1L	NA	turquoise
FSD2	NA	grey
FSIP1	NA	grey
FSIP2	NA	turquoise
FSIP2-AS2	NA	grey
FSIP2LP	NA	turquoise
FST	NA	grey
FSTL1	NA	blue
FSTL3	NA	brown
FSTL4	NA	yellow
FTCD	NA	grey
FTCDNL1	NA	grey
FTH1	NA	blue
FTH1P1	NA	turquoise
FTH1P10	NA	blue
FTH1P11	NA	turquoise
FTH1P12	NA	yellow
FTH1P16	NA	grey
FTH1P2	NA	brown
FTH1P20	NA	blue
FTH1P22	NA	blue
FTH1P23	NA	grey
FTH1P3	NA	grey
FTH1P4	NA	grey
FTH1P7	NA	turquoise
FTH1P8	NA	blue
FTL	NA	turquoise
FTLP3	NA	turquoise
FTO	NA	turquoise
FTOP1	NA	grey
FTSJ1	NA	turquoise
FTSJ3	NA	turquoise
FTX	NA	turquoise
FUBP1	NA	turquoise
FUBP3	NA	turquoise
FUCA1	NA	yellow
FUCA2	NA	red
FUNDC1	NA	turquoise
FUNDC2	NA	brown
FUNDC2P1	NA	grey
FUNDC2P2	NA	grey
FUNDC2P4	NA	turquoise
FUOM	NA	red
FURIN	NA	brown
FUS	NA	turquoise
FUT1	NA	grey
FUT10	NA	turquoise
FUT11	NA	blue
FUT2	NA	yellow
FUT3	NA	turquoise
FUT4	NA	turquoise
FUT6	NA	turquoise
FUT7	NA	blue
FUT8	NA	turquoise
FUT8-AS1	NA	yellow
FUZ	NA	green
FXN	NA	turquoise
FXR1	NA	turquoise
FXR2	NA	turquoise
FXYD1	NA	green
FXYD2	NA	yellow
FXYD3	NA	turquoise
FXYD5	NA	turquoise
FXYD6	NA	blue
FXYD6-AS1	NA	grey
FXYD7	NA	turquoise
FYB1	NA	green
FYCO1	NA	turquoise
FYN	NA	turquoise
FYTTD1	NA	turquoise
FZD1	NA	yellow
FZD2	NA	brown
FZD3	NA	turquoise
FZD4	NA	blue
FZD5	NA	blue
FZD6	NA	turquoise
FZD7	NA	turquoise
FZD8	NA	blue
FZD9	NA	grey
FZR1	NA	yellow
G0S2	NA	brown
G2E3	NA	turquoise
G3BP1	NA	turquoise
G3BP1P1	NA	grey
G3BP2	NA	turquoise
G6PC3	NA	turquoise
G6PD	NA	brown
GAA	NA	brown
GAB1	NA	brown
GAB2	NA	brown
GAB3	NA	turquoise
GAB4	NA	grey
GABARAP	NA	brown
GABARAPL1	NA	green
GABARAPL2	NA	brown
GABBR1	NA	turquoise
GABPA	NA	turquoise
GABPAP	NA	turquoise
GABPB1	NA	turquoise
GABPB1-AS1	NA	turquoise
GABPB1-IT1	NA	turquoise
GABPB2	NA	turquoise
GABRB2	NA	grey
GABRB3	NA	blue
GABRD	NA	grey
GABRE	NA	brown
GABRR1	NA	grey
GABRR2	NA	brown
GADD45A	NA	blue
GADD45B	NA	green
GADD45G	NA	red
GADD45GIP1	NA	turquoise
GAK	NA	yellow
GAL3ST1	NA	grey
GAL3ST2	NA	grey
GAL3ST3	NA	brown
GAL3ST4	NA	turquoise
GALC	NA	turquoise
GALE	NA	turquoise
GALK1	NA	blue
GALK2	NA	turquoise
GALM	NA	turquoise
GALNS	NA	green
GALNT1	NA	yellow
GALNT10	NA	turquoise
GALNT11	NA	turquoise
GALNT12	NA	turquoise
GALNT13	NA	grey
GALNT14	NA	blue
GALNT15	NA	grey
GALNT16	NA	brown
GALNT16-AS1	NA	grey
GALNT18	NA	turquoise
GALNT2	NA	yellow
GALNT3	NA	green
GALNT4	NA	yellow
GALNT5	NA	green
GALNT6	NA	turquoise
GALNT7	NA	green
GALNT7-DT	NA	red
GALNT8	NA	turquoise
GALNT9	NA	turquoise
GALNTL6	NA	turquoise
GALR1	NA	yellow
GALR2	NA	turquoise
GALT	NA	turquoise
GAMT	NA	turquoise
GAN	NA	turquoise
GANAB	NA	turquoise
GANC	NA	turquoise
GAPDH	NA	brown
GAPDHP1	NA	yellow
GAPDHP14	NA	grey
GAPDHP2	NA	green
GAPDHP22	NA	blue
GAPDHP32	NA	grey
GAPDHP33	NA	grey
GAPDHP35	NA	turquoise
GAPDHP37	NA	turquoise
GAPDHP38	NA	grey
GAPDHP39	NA	grey
GAPDHP42	NA	grey
GAPDHP43	NA	green
GAPDHP47	NA	grey
GAPDHP52	NA	grey
GAPDHP60	NA	grey
GAPDHP61	NA	blue
GAPDHP62	NA	blue
GAPDHP65	NA	yellow
GAPDHP70	NA	grey
GAPDHP76	NA	grey
GAPT	NA	turquoise
GAPVD1	NA	green
GAR1	NA	turquoise
GAR1-DT	NA	grey
GAREM1	NA	blue
GAREM2	NA	turquoise
GARIN1A	NA	brown
GARIN1B	NA	blue
GARIN5A	NA	grey
GARNL3	NA	turquoise
GARRE1	NA	turquoise
GARS1	NA	turquoise
GARS1-DT	NA	yellow
GART	NA	turquoise
GAS1	NA	blue
GAS1RR	NA	turquoise
GAS2	NA	grey
GAS2L1	NA	turquoise
GAS2L1P2	NA	turquoise
GAS2L2	NA	grey
GAS2L3	NA	turquoise
GAS5	NA	blue
GAS5-AS1	NA	blue
GAS6	NA	green
GAS6-AS1	NA	turquoise
GAS6-DT	NA	grey
GAS7	NA	brown
GAS8	NA	blue
GAS8-AS1	NA	grey
GASAL1	NA	blue
GASK1A	NA	grey
GASK1B	NA	brown
GASK1B-AS1	NA	brown
GATA1	NA	blue
GATA2	NA	turquoise
GATA2-AS1	NA	turquoise
GATA3	NA	blue
GATA3-AS1	NA	grey
GATA6	NA	turquoise
GATA6-AS1	NA	grey
GATAD1	NA	turquoise
GATAD2A	NA	brown
GATAD2B	NA	green
GATB	NA	turquoise
GATC	NA	turquoise
GATD1	NA	turquoise
GATD1-DT	NA	turquoise
GATD3	NA	turquoise
GATM	NA	turquoise
GAU1	NA	grey
GBA	NA	brown
GBA2	NA	yellow
GBA3	NA	grey
GBAP1	NA	turquoise
GBE1	NA	green
GBF1	NA	turquoise
GBGT1	NA	blue
GBP1	NA	turquoise
GBP1P1	NA	turquoise
GBP2	NA	red
GBP3	NA	turquoise
GBP4	NA	blue
GBP5	NA	turquoise
GBP6	NA	grey
GBP7	NA	turquoise
GCA	NA	brown
GCAT	NA	green
GCATP1	NA	blue
GCAWKR	NA	turquoise
GCC1	NA	green
GCC2	NA	turquoise
GCC2-AS1	NA	grey
GCDH	NA	turquoise
GCFC2	NA	turquoise
GCH1	NA	turquoise
GCHFR	NA	turquoise
GCK	NA	turquoise
GCKR	NA	blue
GCLC	NA	turquoise
GCLM	NA	blue
GCM1	NA	grey
GCN1	NA	turquoise
GCNA	NA	turquoise
GCNT1	NA	turquoise
GCNT1P1	NA	grey
GCNT1P3	NA	blue
GCNT2	NA	turquoise
GCNT2P1	NA	grey
GCNT3	NA	grey
GCNT4	NA	turquoise
GCNT7	NA	yellow
GCOM1	NA	blue
GCSAM	NA	turquoise
GCSAML	NA	turquoise
GCSH	NA	blue
GCSHP3	NA	turquoise
GCSHP4	NA	grey
GCSIR	NA	turquoise
GDAP1	NA	turquoise
GDAP1L1	NA	turquoise
GDAP2	NA	red
GDE1	NA	blue
GDF1	NA	grey
GDF10	NA	grey
GDF11	NA	turquoise
GDF15	NA	blue
GDF5-AS1	NA	grey
GDF7	NA	grey
GDF9	NA	grey
GDI1	NA	green
GDI2	NA	red
GDI2P2	NA	grey
GDPD1	NA	turquoise
GDPD3	NA	brown
GDPD4	NA	brown
GDPD5	NA	turquoise
GDPGP1	NA	turquoise
GEM	NA	grey
GEMIN2	NA	blue
GEMIN4	NA	turquoise
GEMIN5	NA	turquoise
GEMIN6	NA	turquoise
GEMIN7	NA	turquoise
GEMIN7-AS1	NA	turquoise
GEMIN8	NA	turquoise
GEMIN8P1	NA	blue
GEMIN8P4	NA	turquoise
GEN1	NA	turquoise
GET1	NA	turquoise
GET1-SH3BGR	NA	turquoise
GET3	NA	grey
GET4	NA	turquoise
GFAP	NA	grey
GFER	NA	turquoise
GFI1	NA	blue
GFI1B	NA	grey
GFM1	NA	turquoise
GFM2	NA	turquoise
GFOD1	NA	blue
GFOD2	NA	brown
GFPT1	NA	turquoise
GFPT2	NA	blue
GFRA1	NA	grey
GFRA2	NA	yellow
GFUS	NA	blue
GGA1	NA	turquoise
GGA2	NA	turquoise
GGA3	NA	green
GGACT	NA	turquoise
GGCT	NA	turquoise
GGCTP1	NA	turquoise
GGCX	NA	yellow
GGH	NA	grey
GGN	NA	turquoise
GGNBP1	NA	turquoise
GGNBP2	NA	turquoise
GGPS1	NA	turquoise
GGT1	NA	blue
GGT5	NA	brown
GGT6	NA	grey
GGT7	NA	turquoise
GGTA1	NA	green
GGTA2P	NA	green
GH1	NA	yellow
GHDC	NA	turquoise
GHET1	NA	grey
