ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0022407	GO:0022407	regulation of cell-cell adhesion	92/1648	490/18903	1.13348672266752e-12	3.92786487249081e-10	2.92811554611078e-10	ABAT/ACTB/ADAM19/ADAM8/ADORA2A/ALOX5/BCL10/BCL6/CCL5/CCR2/CD1D/CD300A/CD55/CEACAM1/CEBPB/CLEC4G/CORO1A/CR1/CSK/CYRIB/DUSP3/EFNA5/EMILIN2/F11R/FADD/FCHO1/FERMT3/FGL2/FLOT1/FLOT2/FOXO3/FSTL3/GLI3/HFE/HLA-E/HLX/IL12A/IL12B/IL18/IL1RL2/IL1RN/IL4I1/IL4R/IRF1/ITGB2/JAG1/JAK3/LAPTM5/LGALS9/LGALS9C/LILRB2/LILRB4/LYN/MAPK14/MBP/MYADM/MYO10/NFKBIZ/NLRP3/NOD2/NOTCH1/PELI1/PLAUR/PPM1F/PPP3CA/PRKAR1A/PRKCD/PTAFR/PTEN/PTPN6/PTPRC/RARA/RHOA/RIPOR2/RNASE10/SH2B3/SIRPA/SIRPB1/SMARCD3/SPI1/SPINT2/STAT5B/SYK/TGFB1/TGFBR2/TNFAIP8L2/TNFSF14/TRPV4/VAV1/VSIG4/VSIR/ZBTB7B	92	MEbrown
GO:0045088	GO:0045088	regulation of innate immune response	57/1648	240/18903	1.73074685356892e-12	5.66434984131917e-10	4.222617469643e-10	ADAM8/ADAR/AIM2/AKIRIN2/ARRB2/CCL5/CD1D/CEACAM1/CLEC7A/CLNK/CR1/CRK/FADD/FCN1/FGR/FPR2/GRN/HCK/HLA-B/HLA-E/IL12A/IL12B/IRAK3/IRF1/KLRC1/LAMP1/LGALS9/LILRA2/LYN/MNDA/MUL1/N4BP1/NCF1/NFE2L2/NLRX1/NMI/NOD2/NR1H2/PAK1/PAK2/PLCG2/PTPN6/RNF135/SLC15A4/SPI1/STAT5B/SYK/TASL/TLR4/TLR8/TLR9/TRIM21/TYROBP/VAV1/VSIG4/ZDHHC18/ZNFX1	57	MEbrown
GO:0050900	GO:0050900	leukocyte migration	79/1648	398/18903	2.53413310050639e-12	7.85714636583324e-10	5.85728714421754e-10	ADAM8/ADGRE2/ALOX5/BST1/C5AR1/C5AR2/CAMK1D/CCL5/CCR2/CD300A/CDC42/CHGA/CKLF/CNN2/CORO1A/CRK/CSF3R/CXCR1/CXCR2/CXCR4/DAPK2/EXT1/F11R/F2RL1/F7/FADD/FPR2/GPSM3/HCK/ICAM1/IL12A/IL17RA/IL1R1/IL6R/ITGB2/JAML/LGALS9/LYN/LYST/MADCAM1/MAPK3/MMP9/MOSPD2/MSMP/MSN/MYD88/NEDD9/NINJ1/NKX2-3/NLRP12/NOD2/PADI2/PDGFD/PECAM1/PIK3CD/PLVAP/PREX1/PTAFR/RAC1/RAC2/RHOA/RHOG/RIN3/RIPOR2/S100A12/S100A8/SELL/SELPLG/SIRPA/SLC8B1/SPI1/STAT5B/SYK/TNFRSF11A/TNFSF14/TREM1/TRPM2/TRPV4/VAV1	79	MEbrown
GO:0019221	GO:0019221	cytokine-mediated signaling pathway	90/1648	496/18903	1.41094392745989e-11	3.95803365555533e-09	2.95060554654769e-09	ACSL1/ADAR/AGPAT1/AIM2/CASP4/CBL/CCL5/CCR2/CD300LF/CEACAM1/CSF2RA/CSF2RB/CSF3R/CXCR1/CXCR2/CXCR4/DOK1/EGR1/EXT1/F2RL1/FADD/FOXO3/GPR35/HCK/HSPA1A/HSPA1B/IFI27/IFITM2/IFNAR1/IFNAR2/IFNGR1/IFNGR2/IL10RB/IL12B/IL13RA1/IL17RA/IL18/IL1R1/IL1RAP/IL1RL2/IL1RN/IL4R/IL6R/IRAK3/IRF1/JAK3/LAPTM5/LILRA1/LILRA2/LILRA6/LILRB2/LILRB3/LILRB4/LILRB5/LYN/MAPK3/MUL1/MYD88/NAIP/NFKBIA/NMI/NOL3/NOTCH1/NR1H2/OSM/OSMR/PADI2/PLP2/PLVAP/PRKACA/PTPN6/PTPRC/PTPRJ/SH2B3/SHARPIN/SPHK1/SPI1/STAT3/STAT5A/STAT5B/SYK/TBKBP1/TICAM2/TNFRSF11A/TNFRSF1A/TNFRSF1B/TOLLIP/TSLP/WBP1L/XCR1	90	MEbrown
GO:0030099	GO:0030099	myeloid cell differentiation	78/1648	407/18903	2.16207226609897e-11	5.53772509547348e-09	4.12822219412581e-09	ACTN1/ADAR/BCL6/CBFA2T3/CDC42/CEACAM1/CEBPB/CLEC5A/CSF3R/DHRS7B/ESRRA/EVI2B/F2RL1/FADD/FAM20C/FAM210B/FES/FOXO3/FSTL3/G6PD/GAB2/H4C12/H4C3/H4C8/H4C9/HCLS1/HSPA1A/HSPA1B/IL12B/JAG1/JAK3/JUNB/KCNQ1/LBR/LIF/LILRB3/LILRB4/LRRK1/LTBR/LYN/MAEA/MAPK14/MMP9/NBEAL2/NEDD9/NFKBIA/NKX2-3/NOTCH2/OSCAR/PIK3CD/PPP3CA/PSEN1/PTPN6/RARA/RASGRP4/RASSF2/RBPJ/RCOR1/SBNO2/SH2B3/SNX10/SPI1/STAT3/STAT5B/TAL1/TCIRG1/TET2/TFE3/TGFB1/TGFBR2/THOC5/TLR4/TNFRSF11A/TRIB1/TRIM58/TYROBP/ZFP36/ZFP36L1	78	MEbrown
GO:0032635	GO:0032635	interleukin-6 production	45/1648	176/18903	2.69160410661494e-11	6.34249591682745e-09	4.72815677170423e-09	AKIRIN2/ARHGEF2/ARID5A/ARRB2/BCL10/C5AR2/CD36/CEBPB/CLEC7A/CSK/CYBA/F2RL1/HLA-B/HYAL2/IL17RA/IL1RAP/IL1RL2/IL6R/IRAK3/LGALS9/LILRA2/LILRB2/LILRB4/MAPK13/MAPKAPK2/MBP/MYD88/NLRP12/NLRX1/NOD2/PLCG2/PTAFR/PTPN6/SCIMP/SIRPA/STAT3/SYK/TLR1/TLR4/TLR6/TLR8/TLR9/TRPV4/TSLP/TYROBP	45	MEbrown
GO:0002831	GO:0002831	regulation of response to biotic stimulus	71/1648	361/18903	5.10296841095084e-11	1.09514882316846e-08	8.16403414710902e-09	ADAM8/ADAR/AIM2/AKIRIN2/ARRB2/CCL5/CD14/CD1D/CD36/CD55/CEACAM1/CLEC7A/CLNK/CR1/CRK/CYBA/DAPK1/EMILIN2/F2RL1/FADD/FCN1/FGL2/FGR/FPR2/GRN/HCK/HLA-B/HLA-E/IL12A/IL12B/IL4I1/IRAK3/IRF1/KLRC1/LAMP1/LGALS9/LILRA2/LYN/MAPK3/MNDA/MUL1/N4BP1/NCF1/NFE2L2/NFKBIL1/NLRX1/NMI/NOD2/NR1H2/PAK1/PAK2/PLCG2/PTPN6/RNF135/SCIMP/SEC14L1/SLC15A4/SPI1/STAT5B/SYK/TASL/TLR4/TLR8/TLR9/TRIB1/TRIM21/TYROBP/VAV1/VSIG4/ZDHHC18/ZNFX1	71	MEbrown
GO:0007033	GO:0007033	vacuole organization	50/1648	213/18903	6.25030329157155e-11	1.26967367898786e-08	9.46506908618386e-09	ATG16L2/ATG3/ATG7/ATP6V0A1/ATP6V0B/ATP6V1A/CHMP1A/CHMP2A/CHMP4B/CLN6/CORO1A/CTSD/ELAPOR1/EXT1/GAA/GABARAP/GABARAPL2/GRN/LAPTM5/LRRK2/LYST/MAP1LC3B/MAP1LC3B2/MFN2/MTMR3/MYO7A/NSFL1C/PHF23/PPT1/PSEN1/RAB1A/RAB1B/RAB33B/RAB34/RAB43/RAB5A/RAB7A/RALB/SH3GLB1/SNX18/STX12/TASL/TBC1D14/TCIRG1/TFEB/TOM1/TPCN2/UBXN2B/ULK1/VMP1	50	MEbrown
GO:0042554	GO:0042554	superoxide anion generation	20/1648	43/18903	7.77963779107732e-11	1.52766154090788e-08	1.1388297847149e-08	CLEC7A/CYBA/CYBB/F2RL1/FPR2/GNAI2/GNAI3/ITGAM/ITGB2/NCF1/NCF1B/NCF1C/NCF2/NCF4/PRKCD/SH3PXD2B/SOD2/SYK/TGFB1/TYROBP	20	MEbrown
GO:0050863	GO:0050863	regulation of T cell activation	72/1648	376/18903	1.33434139880478e-10	2.24588719438827e-08	1.67424731302663e-08	ACTB/ADAM8/ADORA2A/BCL10/BCL6/BID/CCL5/CCR2/CD1D/CD300A/CD55/CEACAM1/CEBPB/CLEC4G/CORO1A/CR1/CSK/CYRIB/DUSP3/FADD/FCHO1/FGL2/FLOT2/FOXO3/GLI3/HFE/HLA-E/HLX/IL12A/IL12B/IL18/IL1RL2/IL4I1/IL4R/IRF1/JAK3/JUNB/LAPTM5/LGALS9/LGALS9C/LILRB2/LILRB4/LYN/NFKBIZ/NLRP3/NOD2/PELI1/PPP3CA/PRELID1/PRKAR1A/PTEN/PTPN6/PTPRC/RAC2/RARA/RHOA/RIPOR2/SIRPA/SIRPB1/SMARCD3/SOS2/STAT5B/SYK/TGFBR2/TNFAIP8L2/TNFRSF1B/TNFRSF9/TNFSF14/VAV1/VSIG4/VSIR/ZBTB7B	72	MEbrown
GO:0043300	GO:0043300	regulation of leukocyte degranulation	21/1648	49/18903	1.77127491701596e-10	2.89849459337251e-08	2.16074823210251e-08	ADGRE2/CCR2/CD300A/CEACAM1/F2RL1/FES/FGR/GAB2/IL4R/ITGAM/ITGB2/LAMP1/LGALS9/LYN/PRAM1/PTAFR/RAC2/SPI1/STXBP2/SYK/UNC13D	21	MEbrown
GO:0030595	GO:0030595	leukocyte chemotaxis	53/1648	240/18903	1.90218642205516e-10	3.02858924657485e-08	2.25773022839663e-08	ADAM8/ADGRE2/ALOX5/BST1/C5AR1/C5AR2/CAMK1D/CCL5/CCR2/CHGA/CKLF/CORO1A/CSF3R/CXCR1/CXCR2/CXCR4/DAPK2/F2RL1/F7/FPR2/GPSM3/IL12A/IL17RA/IL6R/ITGB2/JAML/LGALS9/LYN/LYST/MAPK3/MOSPD2/MSMP/NEDD9/NINJ1/NOD2/PADI2/PIK3CD/PREX1/RAC1/RAC2/RIN3/RIPOR2/S100A12/S100A8/SLC8B1/SPI1/SYK/TNFRSF11A/TNFSF14/TREM1/TRPM2/TRPV4/VAV1	53	MEbrown
GO:0071496	GO:0071496	cellular response to external stimulus	65/1648	328/18903	2.40141994462312e-10	3.72283286678284e-08	2.7752698085783e-08	ASGR1/ATG7/ATP2B1/BCL10/CBL/CD68/CDA/CNN2/CPEB4/CYBA/DAP/DSC2/ELAPOR1/F11R/FADD/FES/FNIP1/FOXO3/GABARAP/GABARAPL2/GLUL/IGF1R/IRF1/KCNB1/KCNJ2/KIF26A/LAMP2/LRRK2/LTBR/LYN/MAP1LC3B/MAP1LC3B2/MAP2K4/MAP3K2/MAP3K5/MAPK3/MN1/MTMR3/MYD88/NCOA1/NFE2L2/NUAK2/PLIN3/PPM1D/PPP1R9B/PTGS2/PTPRC/RALB/RIPOR1/RRAGC/RRAGD/RXRA/SH3GLB1/SIPA1/SLC9A1/SP1/TFEB/TLR4/TLR8/TNFRSF11A/TNFRSF1A/TNFSF14/ULK1/VDR/ZFYVE1	65	MEbrown
GO:1903706	GO:1903706	regulation of hemopoiesis	76/1648	413/18903	2.85591197162648e-10	3.96715946306485e-08	2.95740858578323e-08	ACTB/ADAM8/BCL6/CCR2/CEACAM1/CEBPB/CLEC4G/CR1/CSF3R/ESRRA/EVI2B/FADD/FAM210B/FES/FGL2/FOXO3/FSTL3/GLI3/H4C12/H4C3/H4C8/H4C9/HCLS1/HLA-B/HLX/HSPA1A/HSPA1B/IL12B/IL18/IL1RL2/IL4I1/IL4R/IRF1/JAG1/JAK3/JUNB/LGALS9/LIF/LILRB2/LILRB3/LILRB4/LYN/MAPK14/NEDD9/NFAM1/NFKBIA/NFKBIZ/NLRP3/NOTCH2/PPP3CA/PRELID1/PTPN6/PTPRC/RARA/RASSF2/RCOR1/RHOA/SMARCD3/SOS2/SPI1/STAT3/STAT5B/SYK/TAL1/TFE3/TGFB1/TGFBR2/TLR4/TLR9/TMEM176B/TRIB1/TYROBP/VSIR/ZBTB7B/ZFP36/ZFP36L1	76	MEbrown
GO:0016236	GO:0016236	macroautophagy	63/1648	317/18903	4.01598694623266e-10	5.37685888642196e-08	4.00830084681403e-08	ATG16L2/ATG3/ATG7/ATP6V0A1/ATP6V0B/ATP6V0D1/ATP6V0E1/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1E1/BNIP3L/CAPN1/CHMP1A/CHMP2A/CHMP4B/CTSD/ELAPOR1/GAA/GABARAP/GABARAPL2/GAPDH/GNAI3/LAMP2/LRRK2/MAP1LC3B/MAP1LC3B2/MAPK3/MFN2/MTMR14/MTMR3/NBR1/NOD2/NSFL1C/PHF23/PLEKHM1/PRKACA/PSEN1/QSOX1/RAB1A/RAB1B/RAB33B/RAB43/RAB5A/RAB7A/RALB/RETREG2/RUBCNL/SH3GLB1/SNX18/SQSTM1/STX12/TBC1D14/TCIRG1/TOM1/TSG101/UBXN2B/ULK1/VMP1/VPS37B/VPS37C/WDFY3/ZFYVE1	63	MEbrown
GO:0071216	GO:0071216	cellular response to biotic stimulus	55/1648	261/18903	5.55586066608591e-10	6.49279287716527e-08	4.84019903394714e-08	ADAM9/APAF1/ARID5A/BCL10/BCL2L11/CAMP/CCL5/CD14/CD36/CD55/CD68/CDA/CDK19/CEBPB/CLEC7A/CYRIB/DDIT3/GSK3B/HCK/IL12B/IL18/LILRA2/LILRB2/LITAF/LYN/MAPK14/MAPK3/MYD88/NFKBIA/NFKBIL1/NLRP3/NOD2/NOTCH1/NOTCH2/PLCG2/PTAFR/RARA/RHOA/SBNO2/SCIMP/SIRPA/SPI1/SYK/TGFB1/TICAM2/TLR1/TLR4/TLR6/TLR9/TNFRSF1B/TNIP1/TRIB1/UPF1/VIM/ZFP36	55	MEbrown
GO:0002237	GO:0002237	response to molecule of bacterial origin	68/1648	360/18903	7.97536780481656e-10	8.85373998715887e-08	6.60022035869646e-08	ADAM9/ADM/AKIRIN2/ARID5A/BCL10/C5AR1/CAMP/CCL5/CD14/CD36/CD55/CD68/CDK19/CEBPB/CNR1/CSF2RB/CYRIB/HCK/IFNAR1/IL12A/IL12B/IL18/IRAK3/JUND/LGALS9/LILRA2/LILRB2/LITAF/LYN/MAPK14/MAPK3/MAPKAPK2/MAPKAPK3/MYD88/NFKBIA/NFKBIL1/NLRP3/NOD2/NOTCH1/PELI1/PLCG2/PTAFR/PTGS2/RARA/RHOA/S100A8/SBNO2/SCIMP/SIRPA/SLC11A1/SNCA/SOD2/SPI1/TGFB1/THBD/TICAM2/TIMP4/TLR1/TLR4/TLR6/TLR9/TNFRSF11A/TNFRSF1B/TNIP1/TRIB1/UPF1/VIM/ZFP36	68	MEbrown
GO:0045730	GO:0045730	respiratory burst	18/1648	39/18903	8.11580307768764e-10	8.85373998715887e-08	6.60022035869646e-08	CAMK1D/CD55/CLEC7A/CYBA/CYBB/CYBC1/GRN/HCK/NCF1/NCF1B/NCF1C/NCF2/NCF4/PGAM1/PIK3CD/RAC1/RAC2/SLC11A1	18	MEbrown
GO:0032418	GO:0032418	lysosome localization	27/1648	84/18903	1.11523726638706e-09	1.15260749759407e-07	8.59237280769497e-08	ADGRE2/CBL/CD300A/CHGA/CLNK/DEF8/FES/FGR/GAB2/IL4R/LAT2/LGALS9/LYN/MILR1/MRGPRX2/NDEL1/PIK3CD/PLEKHM1/PLEKHM2/RAB34/RAC2/SNAP23/SPAG9/STXBP2/SYK/TFEB/UNC13D	27	MEbrown
GO:1990849	GO:1990849	vacuolar localization	27/1648	84/18903	1.11523726638706e-09	1.15260749759407e-07	8.59237280769497e-08	ADGRE2/CBL/CD300A/CHGA/CLNK/DEF8/FES/FGR/GAB2/IL4R/LAT2/LGALS9/LYN/MILR1/MRGPRX2/NDEL1/PIK3CD/PLEKHM1/PLEKHM2/RAB34/RAC2/SNAP23/SPAG9/STXBP2/SYK/TFEB/UNC13D	27	MEbrown
