ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type	
GO:0032729	GO:0032729	positive regulation of interferon-gamma production	23/1696	65/18862	4.14E-09	1.69E-06	1.57E-06	CD160/CD2/CD226/CD244/CRTAM/FZD5/HAVCR2/HRAS/IL12RB1/IL12RB2/IL1B/IL2/IL21/IL23A/IL23R/PDE4D/PYCARD/SCRIB/TLR3/TNFSF4/TXK/WNT5A/ZFPM1	23	blue
GO:0019083	GO:0019083	viral transcription	42/1696	180/18862	6.30E-09	2.43E-06	2.26E-06	CCL3/CCL4/HPN/IFITM3/POLR2H/POLR2I/POLR2K/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7	42	blue
GO:0032609	GO:0032609	interferon-gamma production	31/1696	112/18862	8.60E-09	3.14E-06	2.92E-06	CD160/CD2/CD226/CD244/CRTAM/FZD5/GATA3/HAVCR2/HRAS/IL12RB1/IL12RB2/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/INHA/LGALS9B/PDCD1LG2/PDE4D/PGLYRP2/PYCARD/SCRIB/SPN/TLR3/TNFSF4/TXK/WNT5A/XCL1/ZFPM1	31	blue
GO:0031343	GO:0031343	positive regulation of cell killing	21/1696	63/18862	6.47E-08	1.73E-05	1.61E-05	CADM1/CD160/CD226/CRTAM/IFNG/IL12RB1/IL18RAP/IL21/IL23A/IL23R/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PRF1/PVR/SH2D1A/XCL1	21	blue
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	39/1696	175/18862	8.16E-08	2.02E-05	1.88E-05	ADA/CARD11/CD2/CD80/CRTAM/EGR3/ERBB2/GATA3/IFNG/IHH/IL12RB1/IL2/IL23A/IL23R/INHA/LAG3/LOXL3/MDK/MMP14/NFATC2/PGLYRP2/RAG1/RUNX3/SFRP1/SH3RF1/SLAMF8/SLC46A2/SMAD7/SOCS1/SOX13/TBX21/TNFRSF18/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB16/ZNF683	39	blue
GO:0090150	GO:0090150	establishment of protein localization to membrane	63/1696	354/18862	1.09E-07	2.61E-05	2.43E-05	AKAP5/CACNB3/ERBB2/GZMB/HRAS/NACAD/NPC1/NSG1/OPTN/PARD3/PDZK1/PPP1R13B/PPP3CC/REEP1/RFTN1/RN7SL1/RN7SL2/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7/RTP4/RTP5/SCRIB/SEC61G/STOM/TFDP2/TIMM10/TIMM8B/TRARG1/VAMP5/ZDHHC19	63	blue
GO:0001912	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	19/1696	55/18862	1.43E-07	3.10E-05	2.88E-05	CADM1/CD160/CD226/CRTAM/IL12RB1/IL18RAP/IL21/IL23A/IL23R/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PVR/SH2D1A/XCL1	19	blue
GO:0006413	GO:0006413	translational initiation	41/1696	193/18862	1.55E-07	3.20E-05	2.97E-05	EIF2S3B/EIF4EBP1/EIF4EBP3/EIF5B/KLHL25/PPP1R15A/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7	41	blue
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	29/1696	113/18862	1.57E-07	3.20E-05	2.97E-05	CADM1/CD160/CD226/CRTAM/GZMB/GZMM/HAVCR2/IL12RB1/IL18RAP/IL21/IL23A/IL23R/KIR3DL1/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/PRF1/PVR/SH2D1A/SLAMF7/ULBP2/ULBP3/XCL1	29	blue
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	28/1696	108/18862	2.03E-07	3.80E-05	3.53E-05	CADM1/CD160/CD226/CD81/CRTAM/FZD5/GATA3/HPX/IL12RB1/IL18RAP/IL1B/IL2/IL21/IL23A/IL23R/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PVR/SH2D1A/SH2D1B/TBX21/TNFSF4/XCL1	28	blue
GO:0050870	GO:0050870	positive regulation of T cell activation	43/1696	212/18862	3.06E-07	5.41E-05	5.03E-05	ADA/AIF1/CARD11/CD160/CD80/CD81/EGR3/GATA3/GRAP2/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/KLRC4-KLRK1/KLRK1/LCK/LEP/MDK/PDCD1/PDCD1LG2/PRKCQ/PYCARD/RAG1/RUNX3/SOCS1/SOX13/SPTA1/SRC/TMIGD2/TNFSF13B/TNFSF4/VNN1/XBP1/XCL1/YES1/ZAP70/ZBTB16	43	blue
GO:0001906	GO:0001906	cell killing	37/1696	179/18862	1.24E-06	0.000187401	0.000174341	CADM1/CD160/CD226/CRTAM/GNLY/GZMB/GZMM/HAMP/HAVCR2/IFNG/IL12RB1/IL18RAP/IL21/IL23A/IL23R/KIR3DL1/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/LTF/NCR1/NCR3/NECTIN2/PGLYRP1/PGLYRP4/PRF1/PVR/RPL30/SEMG1/SH2D1A/SLAMF7/ULBP2/ULBP3/XCL1	37	blue
GO:0050867	GO:0050867	positive regulation of cell activation	67/1696	412/18862	1.33E-06	0.000196627	0.000182924	ADA/AIF1/CARD11/CCL3/CD160/CD177/CD2/CD226/CD320/CD38/CD80/CD81/CEBPA/CLEC4D/EGR3/GATA3/GRAP2/HAMP/HAVCR1/HAVCR2/IFNG/IGHV1OR15-1/IGHV3-66/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/IRS2/KLRC2/KLRC4-KLRK1/KLRK1/LCK/LEP/LILRA5/MDK/MMP14/NECTIN2/NFATC2/PDCD1/PDCD1LG2/PDGFRB/PRKCQ/PYCARD/RAG1/RUNX3/SOCS1/SOX13/SPTA1/SRC/TBX21/TMIGD2/TNFSF13B/TNFSF4/TOX/TRDC/TREM2/VNN1/WNT5A/XBP1/XCL1/YES1/ZAP70/ZBTB16	67	blue
GO:0071674	GO:0071674	mononuclear cell migration	38/1696	190/18862	2.09E-06	0.000290356	0.000270121	ADTRP/AIF1/AIRE/CCL22/CCL27/CCL3/CCL4/CCN3/CCR1/CCR5/CD99/CMKLR1/CRTAM/CSF1R/CX3CL1/CXCL16/DUSP1/ECM1/FUT7/GATA3/KLRC4-KLRK1/KLRK1/MDK/MSTN/PLA2G7/PLCB1/PYCARD/RET/SLAMF8/SLIT2/SPN/SPNS2/STK39/TBX21/WNT5A/XCL1/XCL2/ZAP70	38	blue
GO:0002685	GO:0002685	regulation of leukocyte migration	40/1696	205/18862	2.19E-06	0.000291724	0.000271394	ADA/ADTRP/AIF1/AIRE/CCL27/CCL28/CCL3/CCL4/CCN3/CCR1/CD81/CD99/CMKLR1/CSF1R/CX3CL1/CX3CR1/DUSP1/ECM1/FUT7/HMOX1/IL23A/KLRC4-KLRK1/KLRK1/MDK/MMP14/MPP1/MSTN/PLA2G7/PLCB1/PYCARD/SLAMF8/SLIT2/SPN/ST3GAL4/STK39/TNFRSF18/TREM2/WNT5A/XCL1/XCL2	40	blue
GO:0002683	GO:0002683	negative regulation of immune system process	65/1696	403/18862	2.54E-06	0.000332606	0.000309427	ADA/ADTRP/ANGPT1/APOA2/ARG2/BPI/C4BPA/CCL28/CCL3/CCN3/CD160/CD80/CRTAM/CX3CL1/DLG5/DUSP1/ERBB2/GLMN/GPR137B/GPR68/HAVCR2/HMOX1/IHH/IL17D/IL2/IL20RB/INHA/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LAX1/LGALS9B/LOXL3/LTF/MAFB/MDK/NLRP6/PDCD1/PDCD1LG2/PGLYRP2/PLCB1/PPARG/PVRIG/RUNX3/SCRIB/SFRP1/SH2D1A/SLA2/SLAMF8/SLIT2/SMAD7/SOCS1/SPN/SYT11/TBX21/TIGIT/TLR3/TMEM176A/TMEM178A/TNFSF4/TRAF3IP1/TYRO3/XCL1/ZFPM1	65	blue
GO:0031349	GO:0031349	positive regulation of defense response	58/1696	361/18862	9.78E-06	0.001130478	0.001051695	CADM1/CARD11/CARD9/CCL3/CD160/CD226/CD81/CEBPA/CLEC4D/CLEC4E/CRTAM/CX3CL1/EREG/FCER1G/FFAR2/FFAR3/HAVCR2/HPX/HRAS/IFNG/IL18RAP/IL1B/IL2/IL21/IL23A/IRGM/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LILRA5/MDK/MUC4/NCR3/NECTIN2/NLRC4/OPTN/PDE2A/PLA2G7/PLSCR1/PSMA8/PSMB3/PVR/PYCARD/PYHIN1/RELB/S100A9/SH2D1A/SH2D1B/SRC/TLR2/TLR3/TNFSF4/TREM2/TRIM6/TXK/WNT5A	58	blue
GO:0042129	GO:0042129	regulation of T cell proliferation	33/1696	168/18862	1.42E-05	0.001563466	0.001454509	AIF1/ARG2/CARD11/CD80/CD81/CRTAM/DLG5/ERBB2/GLMN/HAVCR2/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/LEP/LGALS9B/PDCD1LG2/PRKCQ/PYCARD/SCRIB/SH3RF1/SPN/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	33	blue
GO:0046850	GO:0046850	regulation of bone remodeling	15/1696	51/18862	2.69E-05	0.00276661	0.002573805	CD38/CSF1R/DCSTAMP/GPR137B/HAMP/LEP/MDK/PDK4/SFRP1/SIGLEC15/SRC/SYT7/TF/TMEM119/TMEM64	15	blue
GO:0030728	GO:0030728	ovulation	8/1696	16/18862	2.80E-05	0.002811939	0.002615975	ADAMTS1/EREG/HPGD/INHBB/LEP/PGR/RGS2/TNFAIP6	8	blue
GO:0050866	GO:0050866	negative regulation of cell activation	36/1696	200/18862	4.31E-05	0.003847138	0.003579031	ARG2/BPI/C1QTNF1/CD80/CRTAM/CX3CL1/DLG5/ERBB2/GLMN/HAVCR2/HMOX1/IHH/IL2/IL20RB/INHA/LAG3/LAX1/LGALS9B/LOXL3/MDK/PDCD1LG2/PDGFA/PGLYRP2/RUNX3/SCRIB/SERPINE2/SFRP1/SMAD7/SOCS1/SPN/SYT11/TBX21/TIGIT/TNFSF4/TYRO3/XCL1	36	blue
GO:0050868	GO:0050868	negative regulation of T cell activation	25/1696	119/18862	4.75E-05	0.004120063	0.003832937	ARG2/CD80/CRTAM/DLG5/ERBB2/GLMN/HAVCR2/IHH/IL2/IL20RB/LAG3/LAX1/LGALS9B/LOXL3/MDK/PDCD1LG2/RUNX3/SCRIB/SMAD7/SOCS1/SPN/TBX21/TIGIT/TNFSF4/XCL1	25	blue
GO:0030316	GO:0030316	osteoclast differentiation	21/1696	92/18862	5.27E-05	0.004514464	0.004199852	CCL3/CCR1/CD81/CSF1R/DCSTAMP/FOS/GPR137B/GPR68/IFNG/IL23A/IL23R/LTF/MAFB/SFRP1/SIGLEC15/SRC/TF/TLR3/TMEM178A/TMEM64/TREM2	21	blue
GO:1901798	GO:1901798	positive regulation of signal transduction by p53 class mediator	9/1696	22/18862	6.33E-05	0.004989617	0.004641891	CHD5/MSX1/PYHIN1/RPL11/RPL23/RPL26/RPS7/SPRED3/ZNF385A	9	blue
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	27/1696	136/18862	6.83E-05	0.005206171	0.004843354	ADA/AIF1/CARD11/CD320/CD38/CD80/CD81/HAVCR2/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/IRS2/LEP/NFATC2/PDCD1LG2/PRKCQ/PYCARD/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	27	blue
GO:2000328	GO:2000328	regulation of T-helper 17 cell lineage commitment	5/1696	7/18862	0.000105122	0.007078906	0.006585579	IL12RB1/IL23A/IL23R/LOXL3/TBX21	5	blue
GO:0042098	GO:0042098	T cell proliferation	34/1696	195/18862	0.000132386	0.008502113	0.007909602	AIF1/ARG2/CARD11/CD80/CD81/CRTAM/DLG5/ERBB2/FKBP1B/GLMN/HAVCR2/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/LEP/LGALS9B/PDCD1LG2/PRKCQ/PYCARD/SCRIB/SH3RF1/SPN/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	34	blue
GO:0045444	GO:0045444	fat cell differentiation	37/1696	221/18862	0.00016239	0.010098747	0.009394967	BBS12/CARM1/CBY1/CCDC85B/CEBPA/CLIP3/CMKLR1/FFAR2/GATA3/INHBB/KLF4/LEP/LRP3/MAFB/METRNL/MEX3C/NR4A2/PLCB1/PPARG/PRDM16/RETN/RGS2/RORA/SFRP1/SFRP2/SOCS1/SOX13/TLCD3B/TMEM64/WNT10B/WNT5A/WWTR1/XBP1/ZBTB16/ZBTB7C/ZFPM1/ZNF385A	37	blue
GO:0001501	GO:0001501	skeletal system development	68/1696	486/18862	0.000163071	0.010098747	0.009394967	ALPL/ALX4/ANXA6/BMPR1A/CCN3/CHADL/CHI3L1/CMKLR1/COL13A1/COL1A1/CSRNP1/DHRS3/DLL3/EBP/ECM1/FAT4/GHRL/GPR68/HAPLN2/HOXA10/HOXB2/HOXB3/HOXB9/HOXC4/IHH/INHA/JAG2/LEP/LTF/MAF/MDK/MEIS1/MEX3C/MMP14/MSX1/MUSTN1/PBX1/PIP4K2A/PITX2/PLXNB1/RAB23/RUNX3/SERPINH1/SFRP1/SFRP2/SIGLEC15/SLC39A1/SMAD1/SMAD7/SOX5/SPNS2/SRC/TBX15/TEK/TFAP2A/TIMP1/TMEM119/TSKU/TYMS/WNT10B/WNT2B/WNT5A/WNT7B/WNT9B/WWOX/ZBTB16/ZFPM1/ZNF385A	68	blue
GO:0019722	GO:0019722	calcium-mediated signaling	34/1696	198/18862	0.000179212	0.011000131	0.010233534	ACKR3/ADA/ADGRB2/ADGRL1/CCL3/CCL4/CCR1/CCR5/CMKLR1/CX3CR1/CXCR6/DMPK/EDNRB/FHL2/FKBP1B/GRIN1/GRIN2C/IRGM/LAT/MCOLN1/NEUROD2/NFATC2/NFATC4/NMUR1/NR5A2/P2RY11/PPP3CC/PTGFR/RCAN1/RCAN2/SLA2/SULT1A3/TREM2/ZAP70	34	blue
GO:0002831	GO:0002831	regulation of response to biotic stimulus	60/1696	420/18862	0.000221254	0.013005257	0.012098923	APOBEC3G/ARG2/CADM1/CARD11/CARD9/CD160/CD226/CLEC4D/CLEC4E/CRTAM/CX3CL1/DDX60/EREG/FCER1G/FFAR2/HAVCR2/HPX/HRAS/IFIT1/IFNG/IL12RB1/IL18RAP/IL21/IL23A/IL23R/IRGM/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/LTF/MUC4/NCR1/NCR3/NECTIN2/NLRC4/OPTN/PLSCR1/PPARG/PSMA8/PSMB3/PVR/PYCARD/PYHIN1/RELB/SH2D1A/SH2D1B/SIGIRR/SLAMF8/SOCS1/SRC/SYT11/TRAF3IP1/TREM2/TRIM6/TXK/TYRO3/WNT5A	60	blue
GO:0002449	GO:0002449	lymphocyte mediated immunity	53/1696	360/18862	0.000238891	0.013807877	0.012845609	AIRE/C4A/C4BPA/C8B/CADM1/CD160/CD226/CD81/CD8A/CRTAM/FCER1G/FUT7/FZD5/GATA3/GZMB/GZMM/HAVCR2/HPX/IGHV1OR15-1/IGHV3-66/IL12RB1/IL18RAP/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KIR3DL1/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/PRF1/PVR/RFTN1/RNF8/SH2D1A/SH2D1B/SLA2/SLAMF7/SMAD7/TBX21/TNFSF4/TRDC/ULBP2/ULBP3/XCL1	53	blue
GO:0002385	GO:0002385	mucosal immune response	11/1696	37/18862	0.000284496	0.015473118	0.0143948	CD160/FFAR2/FFAR3/H2BC21/H2BC6/H2BC7/LTF/OTUD7B/RAB17/RPL39/XCL1	11	blue
GO:1902255	GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	4/1696	5/18862	0.000302395	0.01613394	0.015009569	MSX1/RPL11/RPL26/RPS7	4	blue
GO:0007548	GO:0007548	sex differentiation	41/1696	262/18862	0.000329642	0.017242227	0.01604062	ADAM20/ADAM29/ADAMTS1/ADGRG1/AKR1C3/BASP1/BMPR1A/BOK/BRCA2/CENPI/DNAAF11/DNAJC19/EREG/FGF9/FOXL2/FZD4/GATA1/GATA3/HNF4A/HOXA10/INHA/INHBB/KLHL10/LEP/MGST1/MMP14/PBX1/PDGFRB/PGR/RETN/RHOBTB3/SALL1/SFRP1/SFRP2/SLIT2/SRC/TLR3/TYRO3/WNT2B/WNT5A/WNT9B	41	blue
GO:0002456	GO:0002456	T cell mediated immunity	21/1696	104/18862	0.000330625	0.017242227	0.01604062	AIRE/CD81/CD8A/FUT7/FZD5/GATA3/GZMM/IL12RB1/IL1B/IL20RB/IL23A/IL23R/KLRD1/NECTIN2/PRF1/PVR/RFTN1/SMAD7/TBX21/TNFSF4/XCL1	21	blue
GO:0060395	GO:0060395	SMAD protein signal transduction	17/1696	76/18862	0.000341525	0.017677737	0.016445779	ATOH8/BMPR1A/CCN3/DAB2/FOS/GDF15/HNF4A/INHA/INHBB/INHBC/LEFTY1/LEFTY2/MSTN/SMAD1/SMAD7/TF/WWTR1	17	blue
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	18/1696	84/18862	0.000405287	0.020118292	0.018716253	ANGPT1/APOA2/CD160/CD226/CD81/FFAR2/FFAR3/FZD5/GATA3/HMOX1/IL1B/SMAD7/TBX21/TLR3/TNFSF4/TRIM6/WNT5A/XCL1	18	blue
GO:0060343	GO:0060343	trabecula formation	8/1696	22/18862	0.000425147	0.020621139	0.019184056	ADAMTS1/COL1A1/FHL2/HEY2/SFRP1/TEK/TGFBR3/WNT10B	8	blue
GO:2000316	GO:2000316	regulation of T-helper 17 type immune response	8/1696	22/18862	0.000425147	0.020621139	0.019184056	IL12RB1/IL2/IL23A/IL23R/LOXL3/PRKCQ/SMAD7/TBX21	8	blue
GO:0045598	GO:0045598	regulation of fat cell differentiation	25/1696	136/18862	0.000433157	0.020863751	0.01940976	BBS12/CARM1/CCDC85B/CEBPA/CMKLR1/GATA3/LEP/LRP3/METRNL/MEX3C/PPARG/RORA/SFRP1/SFRP2/SOX13/TLCD3B/TMEM64/WNT10B/WNT5A/WWTR1/XBP1/ZBTB16/ZBTB7C/ZFPM1/ZNF385A	25	blue
GO:0060986	GO:0060986	endocrine hormone secretion	12/1696	45/18862	0.000464947	0.021832977	0.020311441	C1QTNF1/FZD4/GATA3/GHRL/IL1B/INHA/INHBB/LEP/NIBAN2/RAB11FIP3/RAB11FIP5/RETN	12	blue
GO:0097305	GO:0097305	response to alcohol	37/1696	233/18862	0.000472166	0.021832977	0.020311441	AKR1C3/CCL3/CCR5/CES1/DRD4/EIF4EBP1/FECH/FOS/FOSL1/GATA3/GRIN1/GRIN3A/HAMP/HPGD/IGFBP7/IL2/KLF4/LEP/MAOB/MLC1/MSTN/OSBPL7/PMVK/PPARG/PTCH1/PTGER2/PTGFR/RAD51/RGS2/RPL15/SFRP1/SLC6A3/SLIT2/TGFBR3/TNFSF4/TRH/TYMS	37	blue
GO:0051216	GO:0051216	cartilage development	31/1696	185/18862	0.000522062	0.02398027	0.02230909	ANXA6/BMPR1A/CCN3/CHADL/CHI3L1/COL1A1/ECM1/GHRL/HOXB3/HOXC4/IHH/LEP/MAF/MDK/MEX3C/MSX1/MUSTN1/RUNX3/SERPINH1/SFRP2/SMAD1/SMAD7/SOX5/TIMP1/TSKU/TYMS/WNT10B/WNT2B/WNT5A/WNT7B/ZBTB16	31	blue
