ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0050900	GO:0050900	leukocyte migration	69/1693	398/18903	6.78721461954265e-08	2.0843220984231e-05	1.87349254642784e-05	ADA/ADTRP/AIF1/AIRE/BSG/CCL22/CCL27/CCL28/CCL3/CCL4/CCN3/CCR1/CCR5/CD177/CD81/CD99/CHST2/CMKLR1/CRTAM/CSF1R/CX3CL1/CX3CR1/CXCL1/CXCL16/CXCL2/DUSP1/ECM1/EDNRB/FCER1G/FFAR2/FUT7/GATA3/GPR18/HMOX1/IL1A/IL1B/IL23A/ITGA9/KLRC4-KLRK1/KLRK1/LCK/LEP/LYVE1/MDK/MMP14/MPP1/MSTN/PLA2G7/PLCB1/PLG/PYCARD/RET/S100A9/SLAMF8/SLIT2/SPN/SPNS2/SRC/ST3GAL4/STK39/TBX21/TNFAIP6/TNFRSF18/TREM2/WNT5A/XCL1/XCL2/YES1/ZAP70	69	MEblue
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	71/1693	414/18903	6.84683953493066e-08	2.0843220984231e-05	1.87349254642784e-05	ADA/ADTRP/AIF1/ARG2/CARD11/CCL28/CD160/CD177/CD80/CD81/CERCAM/CHST2/CRTAM/CX3CR1/DLG5/EGR3/ERBB2/FUT7/GATA3/GFUS/GLMN/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLF4/KLHL25/KLRC4-KLRK1/KLRK1/LAG3/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/PDCD1LG2/PDE5A/PRKCQ/PYCARD/RAG1/RUNX3/S100A9/SCRIB/SKAP1/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/ST3GAL4/TBX21/TIGIT/TMIGD2/TNFSF13B/TNFSF4/VNN1/WNT10B/XBP1/XCL1/YES1/ZAP70/ZBTB16	71	MEblue
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	66/1693	377/18903	8.95507883779101e-08	2.37037732806791e-05	2.130613238576e-05	ADA/ADTRP/AIF1/ARG2/CARD11/CCL28/CD160/CD80/CD81/CHST2/CRTAM/DLG5/EGR3/ERBB2/FUT7/GATA3/GLMN/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLF4/KLHL25/KLRC4-KLRK1/KLRK1/LAG3/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/PDCD1LG2/PDE5A/PRKCQ/PYCARD/RAG1/RUNX3/SCRIB/SKAP1/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/ST3GAL4/TBX21/TIGIT/TMIGD2/TNFSF13B/TNFSF4/VNN1/WNT10B/XBP1/XCL1/YES1/ZAP70/ZBTB16	66	MEblue
GO:0002683	GO:0002683	negative regulation of immune system process	75/1693	449/18903	8.9763683951537e-08	2.37037732806791e-05	2.130613238576e-05	ADA/ADTRP/ANGPT1/APOA2/ARG2/BPI/C4BPA/CCL28/CCL3/CCN3/CD160/CD80/CEBPA/CRTAM/CX3CL1/CX3CR1/DLG5/DUSP1/ERBB2/GLMN/GPR137B/GPR18/GPR68/HAVCR2/HMOX1/ID2/IHH/IL17D/IL2/IL20RB/INHA/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LAX1/LGALS9B/LOXL3/LTF/MAFB/MDK/NLRP6/PDCD1/PDCD1LG2/PDE5A/PGLYRP1/PGLYRP2/PLCB1/PPARG/PRG2/PVRIG/RUNX3/SCRIB/SFRP1/SH2D1A/SLA2/SLAMF8/SLIT2/SMAD7/SOCS1/SPN/SRC/SYT11/TBX21/TIGIT/TLR3/TMEM176A/TMEM178A/TNFAIP6/TNFSF4/TREM2/TYRO3/XCL1/YES1/ZFPM1	75	MEblue
GO:0031343	GO:0031343	positive regulation of cell killing	21/1693	66/18903	1.49866645682823e-07	3.76882034186717e-05	3.38760349211654e-05	CADM1/CD160/CD226/CRTAM/IFNG/IL12RB1/IL21/IL23A/IL23R/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PRF1/PVR/SH2D1A/XCL1	21	MEblue
GO:0050863	GO:0050863	regulation of T cell activation	65/1693	376/18903	1.80578470529746e-07	4.1778634941762e-05	3.75527185661648e-05	ADA/AIF1/ARG2/CARD11/CD160/CD2/CD80/CD81/CRTAM/DLG5/EGR3/ERBB2/GATA3/GLMN/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLHL25/KLRC4-KLRK1/KLRK1/LAG3/LAT/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/PDCD1LG2/PDE5A/PRKCQ/PYCARD/RAG1/RUNX3/SCRIB/SH3RF1/SLC46A2/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/TBX21/TIGIT/TMIGD2/TNFSF13B/TNFSF4/TOX/VNN1/WNT10B/XBP1/XCL1/YES1/ZAP70/ZBTB16/ZNF683	65	MEblue
GO:0002685	GO:0002685	regulation of leukocyte migration	46/1693	231/18903	1.88225165945649e-07	4.18728599934475e-05	3.76374127370673e-05	ADA/ADTRP/AIF1/AIRE/CCL27/CCL28/CCL3/CCL4/CCN3/CCR1/CD81/CD99/CHST2/CMKLR1/CSF1R/CX3CL1/CX3CR1/DUSP1/ECM1/FUT7/GPR18/HMOX1/IL1A/IL23A/KLRC4-KLRK1/KLRK1/LYVE1/MDK/MMP14/MPP1/MSTN/PLA2G7/PLCB1/PYCARD/SLAMF8/SLIT2/SPN/SPNS2/ST3GAL4/STK39/TNFAIP6/TNFRSF18/TREM2/WNT5A/XCL1/XCL2	46	MEblue
GO:0001910	GO:0001910	regulation of leukocyte mediated cytotoxicity	24/1693	87/18903	4.01003746485366e-07	8.59039136915317e-05	7.72147175006325e-05	CADM1/CD160/CD226/CRTAM/CX3CR1/HAVCR2/IL12RB1/IL21/IL23A/IL23R/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/PVR/SH2D1A/XCL1	24	MEblue
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	29/1693	119/18903	4.72381423368935e-07	9.42156604402041e-05	8.46857295832729e-05	CADM1/CD160/CD226/CD81/CRTAM/FZD5/GATA3/HPX/IL12RB1/IL1B/IL2/IL21/IL23A/IL23R/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PVR/SH2D1A/SH2D1B/TBX21/TNFSF4/TREM2/XCL1	29	MEblue
GO:1902105	GO:1902105	regulation of leukocyte differentiation	56/1693	317/18903	6.18141817492526e-07	0.000112783094207621	0.000101375064113606	ADA/CARD11/CCL3/CCR1/CD2/CD80/CRTAM/DCSTAMP/EGR3/ERBB2/FOS/GATA3/GPR137B/GPR68/ID2/IFNG/IHH/IL12RB1/IL2/IL23A/IL23R/INHA/KLHL25/LAG3/LOXL3/LTF/MAFB/MDK/MMP14/PGLYRP1/PGLYRP2/RAG1/RUNX3/SFRP1/SH3RF1/SLAMF8/SLC46A2/SMAD7/SOCS1/SOX13/TBX21/TLR3/TMEM176A/TMEM178A/TMEM64/TNFAIP6/TNFSF4/TOX/TREM2/VNN1/WNT10B/XBP1/ZAP70/ZBTB16/ZFPM1/ZNF683	56	MEblue
GO:1903707	GO:1903707	negative regulation of hemopoiesis	28/1693	114/18903	6.239728586867e-07	0.000112783094207621	0.000101375064113606	CCL3/CEBPA/ERBB2/GPR137B/GPR68/ID2/IHH/IL17D/IL2/INHA/LAG3/LOXL3/LTF/MAFB/MDK/PGLYRP1/PGLYRP2/RUNX3/SFRP1/SMAD7/SOCS1/TBX21/TLR3/TMEM176A/TMEM178A/TNFAIP6/TNFSF4/ZFPM1	28	MEblue
GO:0002443	GO:0002443	leukocyte mediated immunity	71/1693	463/18903	4.92036947461254e-06	0.000607514700659174	0.000546064480336984	AIRE/ANXA3/C4A/C4BPA/C8B/CADM1/CARD9/CCL3/CD160/CD177/CD2/CD226/CD81/CD8A/CRTAM/CX3CR1/FCER1G/FCGR3A/FUT7/FZD5/GATA1/GATA3/GZMB/GZMM/HAVCR2/HMOX1/HPX/IGHV3-66/IL12RB1/IL1B/IL2/IL20RB/IL21/IL21R/IL23A/IL23R/KIR3DL1/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LAT/LEP/NCR1/NCR3/NECTIN2/NKG7/NLRP6/PRF1/PTGDR/PTGDS/PVR/RFTN1/RNF8/SH2D1A/SH2D1B/SLA2/SLAMF7/SMAD7/SPON2/TBX21/TLR3/TNFSF4/TRDC/TREM2/ULBP2/ULBP3/XCL1	71	MEblue
GO:0032103	GO:0032103	positive regulation of response to external stimulus	70/1693	464/18903	1.00994999138489e-05	0.00114540210787651	0.00102954448038183	AIF1/CADM1/CARD9/CCL27/CCL3/CCL4/CCR1/CD160/CD226/CD81/CEBPA/CMKLR1/CRTAM/CSF1R/CX3CL1/CX3CR1/DDX60/EREG/FFAR2/FFAR3/FKBP1B/GHRL/HAVCR2/HPX/IFNG/IL1B/IL2/IL21/IL23A/IRGM/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LILRA5/MDK/MSTN/NCR3/NECTIN2/NKG7/NLRC4/NLRP6/OPTN/PDE2A/PDGFRB/PLA2G7/PLAT/PLG/PLSCR1/PVR/PYCARD/PYHIN1/S100A9/SEMA5A/SH2D1A/SH2D1B/SLIT2/SRC/STK39/TLR2/TLR3/TNFSF4/TREM2/TRIM6/TXK/WNT5A/XCL1/XCL2	70	MEblue
GO:0046850	GO:0046850	regulation of bone remodeling	15/1693	48/18903	1.14004277404233e-05	0.00124415234057752	0.00111830610943298	CD38/CSF1R/DCSTAMP/GPR137B/HAMP/LEP/MDK/PDK4/SFRP1/SIGLEC15/SRC/SYT7/TF/TMEM119/TMEM64	15	MEblue
GO:0031349	GO:0031349	positive regulation of defense response	51/1693	307/18903	1.17199113505182e-05	0.00125533272687773	0.0011283555976649	CADM1/CARD9/CCL3/CD160/CD226/CD81/CEBPA/CRTAM/CX3CL1/EREG/FFAR2/FFAR3/HAVCR2/HPX/IFNG/IL1B/IL2/IL21/IL23A/IRGM/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LILRA5/MDK/NCR3/NECTIN2/NKG7/NLRC4/NLRP6/OPTN/PDE2A/PLA2G7/PLSCR1/PVR/PYCARD/PYHIN1/S100A9/SH2D1A/SH2D1B/SRC/TLR2/TLR3/TNFSF4/TREM2/TRIM6/TXK/WNT5A	51	MEblue
GO:0050867	GO:0050867	positive regulation of cell activation	70/1693	467/18903	1.25884605773511e-05	0.00130020814248927	0.00116869185698378	ADA/AIF1/CARD11/CCL3/CD160/CD177/CD2/CD226/CD320/CD38/CD80/CD81/CEBPA/CLEC4D/DDR2/EGR3/FCGR3A/GATA1/GATA3/HAMP/HAVCR1/HAVCR2/IFNG/IGHV3-66/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/IRS2/KLHL25/KLRC2/KLRC4-KLRK1/KLRK1/LCK/LEP/LILRA5/MDK/MMP14/NECTIN2/NFATC2/PDCD1LG2/PDGFRB/PRKCQ/PRLR/PYCARD/RAG1/RUNX3/SOCS1/SOX13/SPTA1/SRC/TBX21/TMIGD2/TNFSF13B/TNFSF4/TOX/TRDC/TREM2/VNN1/WNT10B/WNT5A/XBP1/XCL1/YES1/ZAP70/ZBTB16	70	MEblue
GO:0050866	GO:0050866	negative regulation of cell activation	40/1693	221/18903	1.32750521793248e-05	0.00134706845272307	0.00121081223847988	ARG2/BPI/C1QTNF1/CD80/CRTAM/CX3CL1/DLG5/ERBB2/GLMN/HAVCR2/HMOX1/ID2/IHH/IL2/IL20RB/INHA/LAG3/LAX1/LGALS9B/LOXL3/MDK/PDCD1LG2/PDE5A/PDGFA/PGLYRP1/PGLYRP2/RUNX3/SCRIB/SERPINE2/SFRP1/SMAD7/SOCS1/SPN/SYT11/TBX21/TIGIT/TNFSF4/TREM2/TYRO3/XCL1	40	MEblue
GO:0060986	GO:0060986	endocrine hormone secretion	16/1693	56/18903	2.08464676272398e-05	0.00188100896503039	0.00169074457273879	C1QTNF1/DAB2/FOXL2/FZD4/GATA3/GHRL/IL1B/INHA/INHBB/LEP/NIBAN2/PPARG/RAB11FIP3/RAB11FIP5/RETN/TSPO	16	MEblue
GO:0050870	GO:0050870	positive regulation of T cell activation	43/1693	251/18903	2.60171390894815e-05	0.00221886341381224	0.00199442498376986	ADA/AIF1/CARD11/CD160/CD80/CD81/EGR3/GATA3/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/KLHL25/KLRC4-KLRK1/KLRK1/LCK/LEP/MDK/PDCD1LG2/PRKCQ/PYCARD/RAG1/RUNX3/SOCS1/SOX13/SPTA1/SRC/TMIGD2/TNFSF13B/TNFSF4/VNN1/WNT10B/XBP1/XCL1/YES1/ZAP70/ZBTB16	43	MEblue
GO:0042129	GO:0042129	regulation of T cell proliferation	34/1693	182/18903	2.93146016483391e-05	0.00238810783005625	0.00214655029712598	AIF1/ARG2/CARD11/CD80/CD81/CRTAM/DLG5/ERBB2/GLMN/HAVCR2/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/LEP/LGALS9B/PDCD1LG2/PDE5A/PRKCQ/PYCARD/SCRIB/SH3RF1/SPN/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	34	MEblue
GO:0019722	GO:0019722	calcium-mediated signaling	37/1693	208/18903	4.06212183760298e-05	0.00297664716895899	0.00267555877693245	ACKR3/ADA/ADGRB2/ADGRL1/AKAP5/CCL3/CCL4/CCR1/CCR5/CMKLR1/CX3CR1/CXCR6/DMPK/EDNRB/FCGR3A/FHL2/FKBP1B/GRIN1/GRIN2C/IRGM/LAT/MCOLN1/NCALD/NEUROD2/NFATC2/NFATC4/NMUR1/NR5A2/P2RY11/PPP3CC/PTGFR/RCAN1/RCAN2/SLA2/SULT1A3/TREM2/ZAP70	37	MEblue
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	29/1693	149/18903	5.09354317890838e-05	0.00363716712923532	0.00326926702542281	ADA/AIF1/CARD11/CD320/CD38/CD80/CD81/FCGR3A/HAVCR2/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/IRS2/LEP/NFATC2/PDCD1LG2/PRKCQ/PRLR/PYCARD/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	29	MEblue
GO:0050868	GO:0050868	negative regulation of T cell activation	26/1693	128/18903	5.79234234786437e-05	0.00398844144524375	0.00358500988171706	ARG2/CD80/CRTAM/DLG5/ERBB2/GLMN/HAVCR2/IHH/IL2/IL20RB/LAG3/LAX1/LGALS9B/LOXL3/MDK/PDCD1LG2/PDE5A/RUNX3/SCRIB/SMAD7/SOCS1/SPN/TBX21/TIGIT/TNFSF4/XCL1	26	MEblue
GO:0030316	GO:0030316	osteoclast differentiation	22/1693	100/18903	6.04309902882916e-05	0.00411215115091151	0.00369620632859284	CCL3/CCR1/CD81/CSF1R/DCSTAMP/FOS/GPR137B/GPR68/IFNG/IL23A/IL23R/LTF/MAFB/SFRP1/SIGLEC15/SRC/TF/TLR3/TMEM178A/TMEM64/TNFAIP6/TREM2	22	MEblue
GO:0030728	GO:0030728	ovulation	9/1693	22/18903	6.13680878100089e-05	0.00412736069643129	0.00370987742587067	ADAMTS1/EREG/HPGD/INHBB/LEP/PGR/PLAT/RGS2/TNFAIP6	9	MEblue
GO:0051216	GO:0051216	cartilage development	35/1693	201/18903	0.000101026058215913	0.00649556979950589	0.00583854175579814	ANXA6/BMPR1A/CBS/CCN3/CHADL/CHI3L1/COL1A1/ECM1/FGF9/GHRL/HOXB3/HOXC4/IHH/LEP/MAF/MDK/MEX3C/MSX1/MUSTN1/OGN/POR/RUNX3/SERPINH1/SFRP2/SMAD1/SMAD7/SOX5/TIMP1/TSKU/TYMS/WNT10B/WNT2B/WNT5A/WNT7B/ZBTB16	35	MEblue
GO:0002385	GO:0002385	mucosal immune response	12/1693	39/18903	0.000101072144183183	0.00649556979950589	0.00583854175579814	CD160/FAU/FFAR2/FFAR3/H2BC21/H2BC6/H2BC7/LTF/OTUD7B/RAB17/RPL39/XCL1	12	MEblue
GO:0042098	GO:0042098	T cell proliferation	36/1693	212/18903	0.000136928492603888	0.00791994401220886	0.00711884026284843	AIF1/ARG2/CARD11/CD80/CD81/CRTAM/DLG5/ERBB2/FKBP1B/GLMN/HAVCR2/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/LEP/LGALS9B/PDCD1LG2/PDE5A/PRKCQ/PYCARD/SCRIB/SH2D2A/SH3RF1/SPN/SPTA1/TMIGD2/TNFSF13B/TNFSF4/XCL1/ZAP70	36	MEblue
GO:0007548	GO:0007548	sex differentiation	45/1693	288/18903	0.000164551714540946	0.00933105016573365	0.00838721277727278	ACSBG1/ADAM20/ADAM29/ADAMTS1/ADGRG1/AKR1C3/BASP1/BMPR1A/BOK/BRCA2/CENPI/DHCR24/DNAAF11/DNAJC19/EREG/FGF9/FOXL2/FZD4/GATA1/GATA3/HNF4A/HOXA10/IL1A/INHA/INHBB/KLHL10/LEP/MMP14/PBX1/PDGFA/PDGFRB/PGR/RETN/RHOBTB3/SALL1/SFRP1/SFRP2/SLIT2/SRC/TLR3/TNFAIP6/TYRO3/WNT2B/WNT5A/WNT9B	45	MEblue
GO:0050886	GO:0050886	endocrine process	20/1693	93/18903	0.000178534484582482	0.00983469960785786	0.00883991798850003	C1QTNF1/DAB2/EDNRB/F2R/FOXL2/FZD4/GATA3/GHRL/IL1B/INHA/INHBB/LEP/NIBAN2/OR51E2/OXTR/PPARG/RAB11FIP3/RAB11FIP5/RETN/TSPO	20	MEblue
GO:0045444	GO:0045444	fat cell differentiation	39/1693	244/18903	0.000272218985714788	0.0143137692124939	0.0128659289037831	BBS12/CARM1/CBY1/CCDC85B/CEBPA/CEBPD/CLIP3/CMKLR1/FFAR2/GATA3/ID2/INHBB/KLF4/LEP/LRP3/MAFB/METRNL/MEX3C/NR4A2/PLCB1/PPARG/PRDM16/RETN/RGS2/RORA/SFRP1/SFRP2/SOCS1/SOX13/TLCD3B/TMEM64/WNT10B/WNT5A/WWTR1/XBP1/ZBTB16/ZBTB7C/ZFPM1/ZNF385A	39	MEblue
GO:0060395	GO:0060395	SMAD protein signal transduction	18/1693	82/18903	0.000282433352708131	0.0144864665481742	0.0130211578731587	ATOH8/BMPR1A/CCN3/DAB2/FOS/GDF15/HNF4A/INHA/INHBB/INHBC/LEFTY1/LEFTY2/MSTN/PPARG/SMAD1/SMAD7/TF/WWTR1	18	MEblue
GO:0031960	GO:0031960	response to corticosteroid	29/1693	165/18903	0.000325549417358145	0.0162325674999958	0.0145906404022856	ACSBG1/AIF1/AKR1C3/ALPL/ANXA3/APOA2/AREG/BCKDHB/COL1A1/DDIT4/FOS/FOSL1/GOT1/IGFBP7/MAOB/MDK/MSTN/PFKFB1/PLAT/POR/PTGDS/PTPRU/RPL27/SLIT2/SRC/STK39/TAT/TYMS/WNT7B	29	MEblue
GO:0030595	GO:0030595	leukocyte chemotaxis	38/1693	240/18903	0.000391980161424108	0.0185441798189287	0.0166684327228815	AIF1/BSG/CCL22/CCL27/CCL3/CCL4/CCN3/CCR1/CCR5/CMKLR1/CSF1R/CX3CL1/CX3CR1/CXCL1/CXCL16/CXCL2/DUSP1/EDNRB/FCER1G/FFAR2/GPR18/IL1B/IL23A/ITGA9/KLRC4-KLRK1/KLRK1/MDK/MPP1/MSTN/PLA2G7/S100A9/SLAMF8/SLIT2/STK39/TNFAIP6/WNT5A/XCL1/XCL2	38	MEblue
GO:0002237	GO:0002237	response to molecule of bacterial origin	52/1693	360/18903	0.000394352371668091	0.0185441798189287	0.0166684327228815	ABCA1/ALPL/BPI/CARD9/CCL3/CCR5/CD80/CX3CL1/CX3CR1/CXCL1/CXCL2/EDNRB/F2R/FASLG/FMO1/FOS/FZD5/GATA1/GFI1/HAMP/HAVCR2/HPGD/IL12RB2/IL1A/IL1B/IL23R/IL24/IRGM/KLRC4-KLRK1/KLRK1/LTF/MAOB/MAP2K3/NUGGC/PDCD1LG2/PLSCR4/PTGER2/PTGFR/PYCARD/S100A9/SIGIRR/SLPI/SPON2/SRC/SSC5D/TLR2/TNFSF4/TREM2/TRIM6/TSPO/WNT5A/XBP1	52	MEblue
GO:0002831	GO:0002831	regulation of response to biotic stimulus	52/1693	361/18903	0.000421569498876155	0.0196641772701587	0.0176751422321675	APOBEC3G/ARG2/CADM1/CARD9/CD160/CD226/CRTAM/CX3CL1/DDX60/EREG/FFAR2/HAVCR2/HPX/IFIT1/IL12RB1/IL1B/IL21/IL23A/IL23R/IRGM/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/LTF/NCR1/NCR3/NECTIN2/NLRC4/OPTN/PLSCR1/PPARG/PVR/PYCARD/PYHIN1/SH2D1A/SH2D1B/SIGIRR/SLAMF8/SOCS1/SRC/SYT11/TRAF3IP1/TREM2/TRIM6/TXK/TYRO3/WNT5A	52	MEblue
